"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LL-3000","Hospitals","17643939","BC Children's Hospital","17992315","BC Children's Hospital","Provides community hospital services.","17954798","17643950","","http://www.bcchildrens.ca/",,"Y","Interpreter services available","Emergency Department open 24 hours a day, 7 days a week","4500 Oak Street","","","","Vancouver","BC","V6H 3V4","49.244514","-123.124185","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643950"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17690738","Abbotsford Regional Hospital and Cancer Centre","Provides community hospital services.","18616209","17644367","6048514700","https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","32900 Marshall Road","","","","Abbotsford","BC","V2S 0C2","49.038152","-122.313003","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690738&SiteResourceAgencyNum=17644367"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17691002","Delta Hospital","Provides community hospital services.","17691017","17644361","6049461121","https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","5800 Mountain View Boulevard","","","","Delta","BC","V4K 3V6","49.084610","-123.059929","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691002&SiteResourceAgencyNum=17644361"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992280","Burnaby Hospital","Provides community hospital services.","17992282","17644353","6044344211","https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.W1jxFdVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","3935 Kincaid Street","","","","Burnaby","BC","V5G 2X6","49.248776","-123.016837","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992280&SiteResourceAgencyNum=17644353"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992283","Chilliwack General Hospital","Provides community hospital services.","17690993","17644355","6047954141","https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","45600 Menholm Road","","","","Chilliwack","BC","V2P 1P7","49.165763","-121.962422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992283&SiteResourceAgencyNum=17644355"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992296","Langley Memorial Hospital","Provides community hospital services.","17691069","17644429","6045146000","https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","22051 Fraser Highway","","","","Langley","BC","V3A 4H4","49.093175","-122.613957","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992296&SiteResourceAgencyNum=17644429"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992306","Royal Columbian Hospital","Provides community hospital services.","17691389","17644420","6045204253","https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital#.W1jyEtVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","330 E Columbia Street","","","","New Westminster","BC","V3L 3W7","49.226790","-122.892844","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992306&SiteResourceAgencyNum=17644420"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Peace Arch Hospital","Provides community hospital services.","17691358","17644418","6045315512","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","15521 Russell Avenue","","","","White Rock","BC","V4B 2R4","49.029793","-122.793632","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644418"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Dr. Al Hogg Pavilion","Provides community hospital services.","18757780","17644873","6045415837","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"","15521 Russell Avenue","","","","White Rock","BC","V4B 2R4","49.029322","-122.792131","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644873"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992312","Mission Memorial Hospital","Provides community hospital services.","17691259","17644460","6048266261","https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital#.W1jpstVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","7324 Hurd Street","","","","Mission","BC","V2V 3H5","49.135186","-122.331733","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992312&SiteResourceAgencyNum=17644460"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992330","Fraser Canyon Hospital","Provides community hospital services.","17691037","17644442","6048695656","https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital#.W1jr8NVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","1275 7th Avenue","","","","Hope","BC","V0X 1L4","49.376899","-121.424345","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992330&SiteResourceAgencyNum=17644442"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992336","Jim Pattison Outpatient Care and Surgery Centre","Provides community hospital services.","17691042","17644370","6045824550","https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/jim-pattison-outpatient-care-and-surgery-centre#.W1i1vtVKhEY",,"Y",,"Mon 07:00 - 20:00; Tue 07:00 - 20:00; Wed 07:00 - 20:00; Thu 07:00 - 20:00; Fri 07:00 - 20:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Statutory holiday hours: 09:00 - 17:00","9750 140th Street","","","","Surrey","BC","V3T 0G9","49.179116","-122.834272","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992336&SiteResourceAgencyNum=17644370"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992342","Ridge Meadows Hospital","Provides community hospital services.","17691381","17644363","6044634111","https://www.fraserhealth.ca/Service-Directory/Locations/Maple-Ridge---Pitt-Meadows/ridge-meadows-hospital#.W1j0SdVKhEY",,"Y",,"Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Sat 11:00 - 20:00; Sun 11:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.","11666 Laity Street","","","","Maple Ridge","BC","V2X 7G5","49.214787","-122.631951","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992342&SiteResourceAgencyNum=17644363"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992343","Eagle Ridge Hospital","Provides community hospital services.","17691024","17644357","6044619972","https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","475 Guildford Way","","","","Port Moody","BC","V3H 3W9","49.283374","-122.823597","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992343&SiteResourceAgencyNum=17644357"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992344","Surrey Memorial Hospital","Provides community hospital services.","17691393","17644365","6045812211","https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/surrey-memorial-hospital#.W1j1rdVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","13750 96th Avenue","","","","Surrey","BC","V3V 1Z2","49.177003","-122.842316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992344&SiteResourceAgencyNum=17644365"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691083","100 Mile District General Hospital","Provides community hospital services","17691087","17646849","2503957600","https://www.interiorhealth.ca/locations/100-mile-district-general-hospital",,"Y",,"Visiting hours: 14:00 - 20:00 daily; maternity visiting hours: 15:00 - 16:00 daily.","555 Cedar Avenue S","","","","100 Mile House","BC","V0K 2E0","51.638711","-121.292384","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691083&SiteResourceAgencyNum=17646849"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691126","Arrow Lakes Hospital","Provides community hospital services","17691132","17646553","2502653622","https://www.interiorhealth.ca/locations/arrow-lakes-hospital",,"Y",,"Visiting hours: 12:00 - 20:00 daily","97 1st Avenue NE","","","","Nakusp","BC","V0G 1R0","50.238724","-117.794638","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691126&SiteResourceAgencyNum=17646553"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691150","Boundary District Hospital","Provides community hospital services","17691160","17647135","2504432100","https://www.interiorhealth.ca/locations/boundary-district-hospital",,"Y",,"Open visiting hours; after 20:00 visitors must use main hospital entrance and check-in with the front desk.","7649 22nd Street","","","","Grand Forks","BC","V0H 1H2","49.030363","-118.467838","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691150&SiteResourceAgencyNum=17647135"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691179","Cariboo Memorial Hospital and Health Centre","Provides community hospital services","17691199","17646585","2503924411","https://www.interiorhealth.ca/locations/cariboo-memorial-hospital",,"Y",,"Visiting hours: 12:00 - 20:00 daily","517 6th Avenue N","","","","Williams Lake","BC","V2G 2G8","52.137421","-122.143656","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691179&SiteResourceAgencyNum=17646585"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691211","Dr. Helmcken Memorial Hospital","Provides community hospital services","17691213","17646548","2506742244","https://www.interiorhealth.ca/locations/dr-helmcken-memorial-hospital",,"Y",,"Visiting hours: 14:00 - 20:00 daily","640 Park Drive","","","","Clearwater","BC","V0E 1N0","51.646945","-120.018229","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691211&SiteResourceAgencyNum=17646548"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691430","East Kootenay Regional Hospital","Provides community hospital services","17691436","17646893","2504265281","https://www.interiorhealth.ca/locations/east-kootenay-regional-hospital",,"Y",,"Visiting hours: 13:00 - 20:00 daily; maternity visiting hours: 18:00 - 20:00 daily.","13 24th Avenue N","","","","Cranbrook","BC","V1C 3H9","49.512483","-115.748688","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691430&SiteResourceAgencyNum=17646893"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691446","Elk Valley Hospital","Provides community hospital services","17691448","17646590","2504234453","https://www.interiorhealth.ca/locations/elk-valley-hospital",,"Y",,"Visiting hours: 14:00 - 20:00 daily","1501 5th Avenue","","","","Fernie","BC","V0B 1M0","49.512840","-115.056600","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691446&SiteResourceAgencyNum=17646590"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691557","Golden and District Hospital","Provides community hospital services","17691560","17647105","2503445271","https://www.interiorhealth.ca/locations/golden-district-hospital",,"Y",,"Visiting hours: 11:00 - 20:00 daily; maternity visiting hours: 14:00 - 20:00 daily.","835 9th Avenue S","","","","Golden","BC","V0A 1H0","51.296527","-116.966604","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691557&SiteResourceAgencyNum=17647105"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691571","Invermere and District Hospital","Provides community hospital services","17691573","17647103","2503429201","https://www.interiorhealth.ca/locations/invermere-district-hospital",,"Y",,"Visiting hours: 11:00 - 20:00 daily; maternity visiting hours: 14:00 - 20:00 daily.","850 10th Avenue","","","","Invermere","BC","V0A 1K0","50.506441","-116.032224","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691571&SiteResourceAgencyNum=17647103"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691577","Kootenay Boundary Regional Hospital","Provides community hospital services","17691582","17646551","2503683311","https://www.interiorhealth.ca/locations/kootenay-boundary-regional-hospital",,"Y",,"Open visiting hours; after 20:00 visitors must use main hospital entrance and check-in with the front desk.","1200 Hospital Bench","","","","Trail","BC","V1R 4M1","49.103180","-117.701470","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691577&SiteResourceAgencyNum=17646551"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691592","Kootenay Lake Hospital","Provides community hospital services","17691594","17646896","2503523111","https://www.interiorhealth.ca/locations/kootenay-lake-hospital",,"Y",,"Open visiting hours; after 20:00 visitors must use emergency department entrance","3 View Street","","","","Nelson","BC","V1L 2V1","49.495025","-117.284817","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691592&SiteResourceAgencyNum=17646896"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992291","Nicola Valley Hospital and Health Centre","Provides community hospital services","17691635","17646747","2503782242","https://www.interiorhealth.ca/locations/nicola-valley-hospital-and-health-centre",,"Y",,"","3451 Voght Street","","","","Merritt","BC","V1K 1C6","50.121468","-120.771016","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992291&SiteResourceAgencyNum=17646747"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992305","Shuswap Lake General Hospital","Provides community hospital services","17691881","17647118","2508333600","https://www.interiorhealth.ca/locations/shuswap-lake-general-hospital",,"Y",,"","601 10th Street NE","","","","Salmon Arm","BC","V1E 4N6","50.704586","-119.274422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992305&SiteResourceAgencyNum=17647118"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992311","Royal Inland Hospital","Provides community hospital services","17691856","17646898","2503745111","https://www.interiorhealth.ca/locations/royal-inland-hospital",,"Y",,"Open visiting hours; after 20:00 visitors must use main hospital entrance and check-in with security","311 Columbia Street","","","","Kamloops","BC","V2C 2T1","50.671418","-120.334025","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992311&SiteResourceAgencyNum=17646898"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992313","Lillooet Hospital and Health Centre","Provides community hospital services","17691622","17646943","2502564233","https://www.interiorhealth.ca/locations/lillooet-hospital-health-centre",,"Y",,"","951 Murray Street","","","","Lillooet","BC","V0K 1V0","50.689254","-121.939063","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992313&SiteResourceAgencyNum=17646943"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992318","Queen Victoria Hospital and Health Centre","Provides community hospital services","17691837","17646569","2508372131","https://www.interiorhealth.ca/locations/queen-victoria-hospital",,"Y",,"","1200 Newlands Road","","","","Revelstoke","BC","V0E 2S0","50.976799","-118.191902","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992318&SiteResourceAgencyNum=17646569"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992321","South Okanagan General Hospital","Provides community hospital services","17691921","17647101","2504985000","https://www.interiorhealth.ca/locations/south-okanagan-general-hospital",,"Y",,"Visiting hours: 12:00 - 20:00 daily","911 McKinney Road","","","","Oliver","BC","V0H 1T3","49.184285","-119.538410","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992321&SiteResourceAgencyNum=17647101"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992328","Vernon Jubilee Hospital","Provides community hospital services","17691958","17646580","2505452211","https://www.interiorhealth.ca/locations/vernon-jubilee-hospital",,"Y",,"Open visiting hours","2101 32nd Street","","","","Vernon","BC","V1T 5L2","50.256925","-119.273751","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992328&SiteResourceAgencyNum=17646580"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992329","Kelowna General Hospital","Provides community hospital services","17690851","17646738","2508624000","https://www.interiorhealth.ca/locations/kelowna-general-hospital",,"Y",,"Open visiting hours; after 20:00 visitors must use main Centennial building entrance and check-in with security","2268 Pandosy Street","","","","Kelowna","BC","V1Y 1T2","49.873281","-119.491273","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992329&SiteResourceAgencyNum=17646738"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992335","Creston Valley Hospital and Health Centre","Provides community hospital services","17691972","17647098","2504282286","https://www.interiorhealth.ca/locations/creston-valley-hospital-health-centre",,"Y",,"Visiting hours: 11:00 - 20:00 daily","312 15th Avenue N","","","","Creston","BC","V0B 1G0","49.098702","-116.508309","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992335&SiteResourceAgencyNum=17647098"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992348","Penticton Regional Hospital","Provides community hospital services","17691646","17646582","2504924000","https://www.interiorhealth.ca/locations/penticton-regional-hospital",,"Y",,"Open visiting hours","550 Carmi Avenue","","","","Penticton","BC","V2A 3G6","49.482657","-119.578687","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992348&SiteResourceAgencyNum=17646582"
"LL-3000","Hospitals","17646543","Interior Health Authority","17992350","Princeton General Hospital","Provides community hospital services","17691662","17647096","2502953233","https://www.interiorhealth.ca/locations/princeton-general-hospital",,"Y",,"Open visiting hours","98 Ridgewood Drive","","","","Princeton","BC","V0X 1W0","49.453436","-120.526235","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992350&SiteResourceAgencyNum=17647096"
"LL-3000","Hospitals","17648936","Vancouver Coastal Health","17690807","Vancouver General Hospital - Leon Judah Blackmore Pavilion","Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.","17690827","17649184","6048754111","http://www.vch.ca/Locations-Services/result?res_id=644",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","855 West 12th Avenue","","","","Vancouver","BC","V5Z 1M9","49.260542","-123.122823","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17649184"
"LL-3000","Hospitals","17648936","Vancouver Coastal Health","17690807","Vancouver General Hospital - Banfield Pavilion","Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.","17691296","17649018","6048754111","http://www.vch.ca/Locations-Services/result?res_id=644",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","2785 Ash Street","","","","Vancouver","BC","V5Z 1M9","49.260669","-123.117598","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17649018"
"LL-3000","Hospitals","17648936","Vancouver Coastal Health","17690807","Vancouver General Hospital - Gordon and Leslie Diamond Health Care Centre","Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.","17691298","17648972","6048754111","http://www.vch.ca/Locations-Services/result?res_id=644",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","2775 Laurel Street","","","","Vancouver","BC","V5Z 1M9","49.261187","-123.125655","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17648972"
"LL-3000","Hospitals","17648936","Vancouver Coastal Health","17690807","Vancouver General Hospital - Jim Pattison Pavilion","Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.","17691302","17648978","6048754111","http://www.vch.ca/Locations-Services/result?res_id=644",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","899 West 12th Avenue","","","","Vancouver","BC","V5Z 1M9","49.260558","-123.124094","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17648978"
"LL-3000","Hospitals","17648936","Vancouver Coastal Health","17690807","Vancouver General Hospital - Willow Pavilion","Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.","17691308","17650165","6048754111","http://www.vch.ca/Locations-Services/result?res_id=644",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.","805 West 12th Avenue","","","","Vancouver","BC","V5Z 1M9","49.260510","-123.122000","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17650165"
